month,interest (Interest),principal (Principal),balance (Balance)
1,83.33,795.83,9204.17
2,76.7,802.46,8401.72
3,70.01,809.14,7592.57
4,63.27,815.89,6776.69
5,56.47,822.69,5954.0
6,49.62,829.54,5124.46
7,42.7,836.46,4288.0
8,35.73,843.43,3444.58
9,28.7,850.45,2594.12
10,21.62,857.54,1736.58
11,14.47,864.69,871.89
12,7.27,871.89,0
